"year","quantity","state"
"1825","119413","Amazônia"
"1826","120393","Amazônia"
"1827","122041","Amazônia"
"1828","122597","Amazônia"
"1829","123067","Amazônia"
"1830","124770","Amazônia"
"1831","124929","Amazônia"
"1832","124929","Amazônia"
"1833","124929","Amazônia"
"1834","124929","Amazônia"
"1835","125436","Amazônia"
"1836","125436","Amazônia"
"1837","125436","Amazônia"
"1838","125558","Amazônia"
"1839","125747","Amazônia"
"1840","125747","Amazônia"
"1841","127032","Amazônia"
"1842","127753","Amazônia"
"1843","127753","Amazônia"
"1844","127753","Amazônia"
"1845","127753","Amazônia"
"1846","127809","Amazônia"
"1847","127809","Amazônia"
"1848","127809","Amazônia"
"1849","127809","Amazônia"
"1850","127809","Amazônia"
"1851","127809","Amazônia"
"1852","127809","Amazônia"
"1853","127809","Amazônia"
"1854","127809","Amazônia"
"1855","127809","Amazônia"
"1856","127809","Amazônia"
"1857","127809","Amazônia"
"1858","127809","Amazônia"
"1859","127809","Amazônia"
"1860","127809","Amazônia"
"1861","127809","Amazônia"
"1862","127809","Amazônia"
"1863","127809","Amazônia"
"1864","127809","Amazônia"
"1865","127809","Amazônia"
"1866","127809","Amazônia"
"1867","127809","Amazônia"
"1868","127809","Amazônia"
"1869","127809","Amazônia"
"1870","127809","Amazônia"
"1871","127809","Amazônia"
"1872","127809","Amazônia"
"1873","127809","Amazônia"
"1874","127809","Amazônia"
"1875","127809","Amazônia"
"1876","127809","Amazônia"
"1877","127809","Amazônia"
"1878","127809","Amazônia"
"1879","127809","Amazônia"
"1880","127809","Amazônia"
"1881","127809","Amazônia"
"1882","127809","Amazônia"
"1883","127809","Amazônia"
"1884","127809","Amazônia"
"1885","127809","Amazônia"
"1886","127809","Amazônia"
"1887","127809","Amazônia"
"1888","127809","Amazônia"
"1500","0","Bahia"
"1501","0","Bahia"
"1502","0","Bahia"
"1503","0","Bahia"
"1504","0","Bahia"
"1505","0","Bahia"
"1506","0","Bahia"
"1507","0","Bahia"
"1508","0","Bahia"
"1509","0","Bahia"
"1510","0","Bahia"
"1511","0","Bahia"
"1512","0","Bahia"
"1513","0","Bahia"
"1514","0","Bahia"
"1515","0","Bahia"
"1516","0","Bahia"
"1517","0","Bahia"
"1518","0","Bahia"
"1519","0","Bahia"
"1520","0","Bahia"
"1521","0","Bahia"
"1522","0","Bahia"
"1523","0","Bahia"
"1524","0","Bahia"
"1525","0","Bahia"
"1526","0","Bahia"
"1527","0","Bahia"
"1528","0","Bahia"
"1529","0","Bahia"
"1530","0","Bahia"
"1531","0","Bahia"
"1532","0","Bahia"
"1533","0","Bahia"
"1534","0","Bahia"
"1535","0","Bahia"
"1536","0","Bahia"
"1537","0","Bahia"
